date,day_of_week,montemp_fth,,rain,snow,holiday,local_event,end_of_month,people
2010-01-01,Friday,1,34.9,1,0,1,0,0,57
2010-01-02,Saturday,1,16.4,0,0,0,0,0,56
2010-01-03,Sunday,1,11.7,0,0,0,0,0,57
2010-01-04,Monday,1,25.5,0,0,0,1,0,52
2010-01-05,Tuesday,1,20.7,1,1,0,0,0,52
2010-01-06,Wednesday,1,25.9,0,1,0,0,0,57
2010-01-07,Thursday,1,13.9,0,0,0,0,0,39
2010-01-08,Friday,1,25.0,0,0,0,0,0,38
2010-01-09,Saturday,1,6.0,0,0,0,0,0,64
2010-01-10,Sunday,1,12.9,0,0,0,0,0,64
2010-01-11,Monday,1,20.7,0,0,0,1,0,54
2010-01-12,Tuesday,1,14.5,0,0,0,0,0,50
2010-01-13,Wednesday,1,17.1,1,1,0,0,0,64
2010-01-14,Thursday,1,34.7,0,1,0,0,0,51
2010-01-15,Friday,1,6.1,0,1,0,0,0,51
2010-01-16,Saturday,1,24.8,0,0,0,0,0,60
2010-01-17,Sunday,1,21.3,1,0,0,0,0,63
2010-01-18,Monday,1,14.3,0,0,0,0,0,53
2010-01-19,Tuesday,1,22.2,0,1,0,0,0,52
2010-01-20,Wednesday,1,37.2,1,0,0,0,0,35
2010-01-21,Thursday,1,17.9,0,1,0,0,0,56
2010-01-22,Friday,1,29.5,1,1,0,0,0,56
2010-01-23,Saturday,1,9.4,0,0,0,0,0,58
2010-01-24,Sunday,1,22.8,0,0,0,0,0,58
2010-01-25,Monday,1,35.2,1,1,0,0,0,45
2010-01-26,Tuesday,1,20.2,0,1,0,0,0,62
2010-01-27,Wednesday,1,18.2,0,1,0,0,1,59
2010-01-28,Thursday,1,27.3,1,0,0,0,1,46
2010-01-29,Friday,1,17.2,1,0,0,0,1,61
2010-01-30,Saturday,1,8.6,0,0,0,0,1,58
2010-01-31,Sunday,1,12.8,0,1,0,0,1,69
2010-02-01,Monday,2,45.1,0,0,0,0,0,46
2010-02-02,Tuesday,2,12.7,0,1,0,0,0,51
2010-02-03,Wednesday,2,5.0,0,1,0,0,0,53
2010-02-04,Thursday,2,16.1,0,0,0,0,0,53
2010-02-05,Friday,2,19.3,0,0,0,0,0,52
2010-02-06,Saturday,2,8.7,1,0,0,0,0,62
2010-02-07,Sunday,2,13.1,1,0,0,0,0,60
2010-02-08,Monday,2,11.0,0,1,0,0,0,58
2010-02-09,Tuesday,2,-5.4,0,0,0,0,0,42
2010-02-10,Wednesday,2,4.8,1,1,0,0,0,62
2010-02-11,Thursday,2,1.3,0,0,0,0,0,53
2010-02-12,Friday,2,15.4,1,0,0,0,0,58
2010-02-13,Saturday,2,4.4,1,0,0,0,0,65
2010-02-14,Sunday,2,-1.1,0,0,0,0,0,60
2010-02-15,Monday,2,20.2,0,0,0,0,0,54
2010-02-16,Tuesday,2,3.6,1,1,0,0,0,53
2010-02-17,Wednesday,2,4.3,0,1,0,1,0,67
2010-02-18,Thursday,2,6.6,0,0,0,0,0,49
2010-02-19,Friday,2,13.3,1,0,0,0,0,54
2010-02-20,Saturday,2,16.1,1,0,0,0,0,62
2010-02-21,Sunday,2,18.2,0,1,0,0,0,59
2010-02-22,Monday,2,17.5,0,0,0,0,0,53
2010-02-23,Tuesday,2,26.0,1,0,0,0,0,38
2010-02-24,Wednesday,2,29.5,1,0,0,0,0,48
2010-02-25,Thursday,2,15.1,0,0,0,0,0,48
2010-02-26,Friday,2,25.4,0,0,0,0,0,41
2010-02-27,Saturday,2,8.4,0,0,0,0,1,62
2010-02-28,Sunday,2,18.6,0,0,0,0,1,66
2010-03-01,Monday,3,32.5,0,0,0,1,0,54
2010-03-02,Tuesday,3,57.1,1,0,0,0,0,41
2010-03-03,Wednesday,3,41.3,0,0,0,0,0,33
2010-03-04,Thursday,3,40.1,1,0,0,0,0,39
2010-03-05,Friday,3,45.6,0,0,0,0,0,36
2010-03-06,Saturday,3,46.5,0,0,0,1,0,54
2010-03-07,Sunday,3,33.2,0,0,0,0,0,50
2010-03-08,Monday,3,26.6,0,0,0,0,0,41
2010-03-09,Tuesday,3,39.9,0,0,0,0,0,38
2010-03-10,Wednesday,3,51.1,0,0,0,0,0,44
2010-03-11,Thursday,3,39.5,0,0,0,0,0,38
2010-03-12,Friday,3,40.1,0,0,0,0,0,49
2010-03-13,Saturday,3,31.9,1,0,0,0,0,60
2010-03-14,Sunday,3,37.0,1,0,0,0,0,41
2010-03-15,Monday,3,22.5,0,0,0,1,0,55
2010-03-16,Tuesday,3,36.9,0,0,0,0,0,40
2010-03-17,Wednesday,3,39.6,0,0,0,0,0,32
2010-03-18,Thursday,3,42.4,1,0,0,0,0,38
2010-03-19,Friday,3,38.2,0,0,0,0,0,39
2010-03-20,Saturday,3,40.9,0,0,0,0,0,47
2010-03-21,Sunday,3,36.8,0,0,0,0,0,43
2010-03-22,Monday,3,28.3,0,0,0,1,0,53
2010-03-23,Tuesday,3,36.8,0,0,0,0,0,32
2010-03-24,Wednesday,3,33.8,0,0,0,0,0,40
2010-03-25,Thursday,3,34.0,0,0,0,0,0,54
2010-03-26,Friday,3,22.1,0,0,0,1,0,58
2010-03-27,Saturday,3,44.5,0,0,0,0,1,52
2010-03-28,Sunday,3,34.2,0,0,0,0,1,57
2010-03-29,Monday,3,45.6,0,0,0,0,1,40
2010-03-30,Tuesday,3,38.8,0,0,0,1,1,49
2010-03-31,Wednesday,3,24.5,0,0,0,0,1,60
2010-04-01,Thursday,4,52.8,0,0,0,0,0,40
2010-04-02,Friday,4,42.0,1,0,0,0,0,37
2010-04-03,Saturday,4,58.5,0,0,0,1,0,51
2010-04-04,Sunday,4,17.3,1,0,0,0,0,51
2010-04-05,Monday,4,38.2,0,0,0,0,0,27
2010-04-06,Tuesday,4,31.4,1,0,0,0,0,43
2010-04-07,Wednesday,4,45.5,1,0,0,0,0,41
2010-04-08,Thursday,4,42.1,0,0,0,0,0,34
2010-04-09,Friday,4,58.0,0,0,0,0,0,41
2010-04-10,Saturday,4,59.6,0,0,0,0,0,41
2010-04-11,Sunday,4,27.5,0,0,0,0,0,53
2010-04-12,Monday,4,33.3,1,0,0,0,0,53
2010-04-13,Tuesday,4,46.2,0,0,0,0,0,39
2010-04-14,Wednesday,4,37.4,0,0,0,0,0,35
2010-04-15,Thursday,4,31.8,0,0,0,0,0,46
2010-04-16,Friday,4,39.5,0,0,0,0,0,36
2010-04-17,Saturday,4,33.4,0,0,0,0,0,52
2010-04-18,Sunday,4,39.9,0,0,0,0,0,39
2010-04-19,Monday,4,42.4,0,0,0,1,0,42
2010-04-20,Tuesday,4,31.1,0,0,0,0,0,45
2010-04-21,Wednesday,4,43.5,0,0,0,0,0,39
2010-04-22,Thursday,4,29.0,1,0,0,0,0,52
2010-04-23,Friday,4,38.7,0,0,0,0,0,43
2010-04-24,Saturday,4,49.0,1,0,0,0,0,44
2010-04-25,Sunday,4,51.2,0,0,0,0,0,44
2010-04-26,Monday,4,50.0,0,0,0,0,0,38
2010-04-27,Tuesday,4,22.2,0,0,0,0,1,55
2010-04-28,Wednesday,4,35.5,0,0,0,0,1,44
2010-04-29,Thursday,4,47.1,1,0,0,0,1,54
2010-04-30,Friday,4,41.6,0,0,0,0,1,41
2010-05-01,Saturday,5,53.7,0,0,0,0,0,47
2010-05-02,Sunday,5,64.2,0,0,0,0,0,46
2010-05-03,Monday,5,55.3,0,0,0,0,0,31
2010-05-04,Tuesday,5,54.5,1,0,0,0,0,35
2010-05-05,Wednesday,5,57.5,1,0,0,0,0,33
2010-05-06,Thursday,5,60.1,0,0,0,0,0,38
2010-05-07,Friday,5,58.9,0,0,0,0,0,35
2010-05-08,Saturday,5,62.4,0,0,0,0,0,48
2010-05-09,Sunday,5,60.8,0,0,0,0,0,42
2010-05-10,Monday,5,61.0,0,0,0,0,0,38
2010-05-11,Tuesday,5,47.2,0,0,0,0,0,32
2010-05-12,Wednesday,5,54.4,0,0,0,0,0,43
2010-05-13,Thursday,5,62.7,0,0,0,0,0,33
2010-05-14,Friday,5,56.2,0,0,0,0,0,41
2010-05-15,Saturday,5,58.4,0,0,0,0,0,45
2010-05-16,Sunday,5,64.9,1,0,0,0,0,52
2010-05-17,Monday,5,58.3,0,0,0,0,0,40
2010-05-18,Tuesday,5,63.7,1,0,0,0,0,55
2010-05-19,Wednesday,5,57.7,0,0,0,0,0,33
2010-05-20,Thursday,5,56.2,1,0,0,0,0,41
2010-05-21,Friday,5,66.0,0,0,0,0,0,36
2010-05-22,Saturday,5,57.5,0,0,0,0,0,45
2010-05-23,Sunday,5,55.5,0,0,0,0,0,40
2010-05-24,Monday,5,58.0,1,0,0,0,0,36
2010-05-25,Tuesday,5,55.6,0,0,0,0,0,41
2010-05-26,Wednesday,5,71.0,1,0,0,0,0,44
2010-05-27,Thursday,5,61.3,0,0,0,0,1,43
2010-05-28,Friday,5,48.1,0,0,0,0,1,43
2010-05-29,Saturday,5,55.7,0,0,0,0,1,50
2010-05-30,Sunday,5,68.9,0,0,0,0,1,41
2010-05-31,Monday,5,60.7,1,0,0,0,1,44
2010-06-01,Tuesday,6,67.2,0,0,0,0,0,29
2010-06-02,Wednesday,6,67.5,0,0,0,0,0,38
2010-06-03,Thursday,6,67.2,1,0,0,0,0,37
2010-06-04,Friday,6,54.5,0,0,0,0,0,40
2010-06-05,Saturday,6,50.8,0,0,0,0,0,44
2010-06-06,Sunday,6,69.3,0,0,0,0,0,48
2010-06-07,Monday,6,66.9,0,0,0,0,0,38
2010-06-08,Tuesday,6,58.7,0,0,0,0,0,41
2010-06-09,Wednesday,6,49.2,0,0,0,0,0,37
2010-06-10,Thursday,6,65.1,0,0,0,0,0,39
2010-06-11,Friday,6,65.4,0,0,0,0,0,43
2010-06-12,Saturday,6,65.5,0,0,0,0,0,51
2010-06-13,Sunday,6,58.8,1,0,0,0,0,54
2010-06-14,Monday,6,52.0,0,0,0,0,0,41
2010-06-15,Tuesday,6,66.5,0,0,0,0,0,38
2010-06-16,Wednesday,6,68.3,0,0,0,0,0,39
2010-06-17,Thursday,6,59.7,1,0,0,0,0,41
2010-06-18,Friday,6,76.0,0,0,0,0,0,38
2010-06-19,Saturday,6,54.6,0,0,0,0,0,48
2010-06-20,Sunday,6,56.7,1,0,0,0,0,45
2010-06-21,Monday,6,46.5,0,0,0,0,0,39
2010-06-22,Tuesday,6,54.8,0,0,0,0,0,40
2010-06-23,Wednesday,6,68.9,0,0,0,0,0,29
2010-06-24,Thursday,6,52.8,0,0,0,1,0,44
2010-06-25,Friday,6,49.8,0,0,0,0,0,39
2010-06-26,Saturday,6,59.0,0,0,0,0,0,50
2010-06-27,Sunday,6,45.8,1,0,0,0,1,51
2010-06-28,Monday,6,56.9,0,0,0,0,1,40
2010-06-29,Tuesday,6,49.2,0,0,0,0,1,42
2010-06-30,Wednesday,6,52.3,0,0,0,0,1,37
2010-07-01,Thursday,7,76.0,1,0,0,0,0,39
2010-07-02,Friday,7,82.6,0,0,0,0,0,37
2010-07-03,Saturday,7,79.2,0,0,0,0,0,37
2010-07-04,Sunday,7,69.5,0,0,1,0,0,58
2010-07-05,Monday,7,65.9,1,0,0,0,0,40
2010-07-06,Tuesday,7,75.7,0,0,0,0,0,29
2010-07-07,Wednesday,7,81.6,0,0,0,0,0,41
2010-07-08,Thursday,7,60.3,0,0,0,0,0,35
2010-07-09,Friday,7,70.8,0,0,0,0,0,41
2010-07-10,Saturday,7,69.9,0,0,0,0,0,48
2010-07-11,Sunday,7,74.0,0,0,0,0,0,46
2010-07-12,Monday,7,73.6,0,0,0,0,0,46
2010-07-13,Tuesday,7,66.5,0,0,0,1,0,44
2010-07-14,Wednesday,7,75.3,0,0,0,0,0,45
2010-07-15,Thursday,7,80.4,0,0,0,1,0,44
2010-07-16,Friday,7,77.8,0,0,0,0,0,42
2010-07-17,Saturday,7,81.2,0,0,0,0,0,41
2010-07-18,Sunday,7,78.5,1,0,0,0,0,46
2010-07-19,Monday,7,71.2,0,0,0,0,0,35
2010-07-20,Tuesday,7,74.6,1,0,0,0,0,49
2010-07-21,Wednesday,7,79.5,1,0,0,0,0,40
2010-07-22,Thursday,7,76.8,0,0,0,0,0,45
2010-07-23,Friday,7,69.6,1,0,0,0,0,35
2010-07-24,Saturday,7,75.9,0,0,0,0,0,44
2010-07-25,Sunday,7,85.2,0,0,0,0,0,51
2010-07-26,Monday,7,61.0,1,0,0,0,0,43
2010-07-27,Tuesday,7,69.3,0,0,0,1,1,48
2010-07-28,Wednesday,7,80.1,0,0,0,0,1,40
2010-07-29,Thursday,7,68.5,1,0,0,0,1,46
2010-07-30,Friday,7,75.6,1,0,0,0,1,38
2010-07-31,Saturday,7,73.9,0,0,0,0,1,50
2010-08-01,Sunday,8,78.4,1,0,0,0,0,41
2010-08-02,Monday,8,80.2,0,0,0,0,0,36
2010-08-03,Tuesday,8,78.1,0,0,0,0,0,35
2010-08-04,Wednesday,8,82.9,1,0,0,0,0,44
2010-08-05,Thursday,8,62.8,0,0,0,0,0,34
2010-08-06,Friday,8,75.0,1,0,0,0,0,32
2010-08-07,Saturday,8,80.7,0,0,0,0,0,36
2010-08-08,Sunday,8,66.7,0,0,0,0,0,52
2010-08-09,Monday,8,81.3,0,0,0,0,0,41
2010-08-10,Tuesday,8,72.4,1,0,0,0,0,43
2010-08-11,Wednesday,8,57.9,0,0,0,0,0,38
2010-08-12,Thursday,8,85.9,0,0,0,0,0,40
2010-08-13,Friday,8,72.7,1,0,0,0,0,48
2010-08-14,Saturday,8,79.0,0,0,0,0,0,44
2010-08-15,Sunday,8,80.8,0,0,0,0,0,46
2010-08-16,Monday,8,63.6,0,0,0,1,0,49
2010-08-17,Tuesday,8,75.4,0,0,0,1,0,47
2010-08-18,Wednesday,8,90.6,0,0,0,0,0,36
2010-08-19,Thursday,8,73.9,0,0,0,0,0,37
2010-08-20,Friday,8,73.1,0,0,0,0,0,34
2010-08-21,Saturday,8,69.4,0,0,0,0,0,44
2010-08-22,Sunday,8,82.5,1,0,0,0,0,51
2010-08-23,Monday,8,64.8,0,0,0,0,0,43
2010-08-24,Tuesday,8,76.5,0,0,0,0,0,44
2010-08-25,Wednesday,8,80.9,0,0,0,0,0,34
2010-08-26,Thursday,8,65.8,0,0,0,0,0,33
2010-08-27,Friday,8,77.6,1,0,0,0,1,46
2010-08-28,Saturday,8,72.1,0,0,0,0,1,43
2010-08-29,Sunday,8,70.4,1,0,0,0,1,57
2010-08-30,Monday,8,78.4,0,0,0,0,1,37
2010-08-31,Tuesday,8,65.9,0,0,0,0,1,34
2010-09-01,Wednesday,9,57.4,1,0,0,0,0,41
2010-09-02,Thursday,9,60.6,0,0,0,0,0,34
2010-09-03,Friday,9,53.8,0,0,0,0,0,41
2010-09-04,Saturday,9,60.2,1,0,0,0,0,45
2010-09-05,Sunday,9,64.1,1,0,0,0,0,48
2010-09-06,Monday,9,49.1,0,0,0,0,0,42
2010-09-07,Tuesday,9,56.0,1,0,0,0,0,43
2010-09-08,Wednesday,9,58.9,0,0,0,0,0,45
2010-09-09,Thursday,9,65.4,0,0,0,0,0,43
2010-09-10,Friday,9,53.8,1,0,0,0,0,47
2010-09-11,Saturday,9,54.8,0,0,0,0,0,37
2010-09-12,Sunday,9,57.6,0,0,0,0,0,45
2010-09-13,Monday,9,51.5,1,0,0,0,0,45
2010-09-14,Tuesday,9,60.8,0,0,0,0,0,40
2010-09-15,Wednesday,9,55.2,0,0,0,0,0,40
2010-09-16,Thursday,9,54.8,0,0,0,1,0,45
2010-09-17,Friday,9,54.1,0,0,0,0,0,40
2010-09-18,Saturday,9,58.4,0,0,0,0,0,50
2010-09-19,Sunday,9,59.1,0,0,0,0,0,44
2010-09-20,Monday,9,61.1,0,0,0,0,0,32
2010-09-21,Tuesday,9,59.6,0,0,0,0,0,41
2010-09-22,Wednesday,9,53.2,0,0,0,0,0,38
2010-09-23,Thursday,9,62.5,0,0,0,0,0,50
2010-09-24,Friday,9,54.7,0,0,0,0,0,40
2010-09-25,Saturday,9,59.4,1,0,0,0,0,56
2010-09-26,Sunday,9,60.3,0,0,0,0,0,43
2010-09-27,Monday,9,64.2,0,0,0,1,1,45
2010-09-28,Tuesday,9,52.1,1,0,0,0,1,47
2010-09-29,Wednesday,9,65.5,0,0,0,0,1,43
2010-09-30,Thursday,9,71.4,1,0,0,0,1,50
2010-10-01,Friday,10,64.4,1,0,0,0,0,40
2010-10-02,Saturday,10,70.6,0,0,0,0,0,48
2010-10-03,Sunday,10,63.3,0,0,0,0,0,53
2010-10-04,Monday,10,58.7,0,0,0,0,0,43
2010-10-05,Tuesday,10,48.8,1,0,0,0,0,44
2010-10-06,Wednesday,10,56.0,0,0,0,0,0,37
2010-10-07,Thursday,10,58.1,0,0,0,0,0,38
2010-10-08,Friday,10,52.1,0,0,0,0,0,36
2010-10-09,Saturday,10,62.8,0,0,0,1,0,44
2010-10-10,Sunday,10,60.0,0,0,0,0,0,43
2010-10-11,Monday,10,41.9,0,0,0,0,0,42
2010-10-12,Tuesday,10,48.3,0,0,0,0,0,34
2010-10-13,Wednesday,10,54.8,1,0,0,0,0,40
2010-10-14,Thursday,10,41.9,1,0,0,0,0,50
2010-10-15,Friday,10,59.0,0,0,0,0,0,46
2010-10-16,Saturday,10,58.7,0,0,0,0,0,50
2010-10-17,Sunday,10,52.2,0,0,0,0,0,52
2010-10-18,Monday,10,45.5,0,0,0,0,0,34
2010-10-19,Tuesday,10,64.9,0,0,0,0,0,38
2010-10-20,Wednesday,10,58.5,0,0,0,0,0,38
2010-10-21,Thursday,10,49.2,0,0,0,0,0,39
2010-10-22,Friday,10,59.6,0,0,0,0,0,35
